ticker,q_code,name
AV,YAHOO/TSX_AV_UN_TO,Aston Hill Adv Vip Income Fund 
AVF,YAHOO/TSX_AVF_TO,Avenex Energy Corp. 
AVK,YAHOO/TSX_AVK_TO,Avnel Gold Mining Ltd. 
AVL,YAHOO/TSX_AVL_TO,Avalon Rare Metals Inc. 
AVO,YAHOO/TSX_AVO_TO,Avigilon Corporation 
AVP,YAHOO/TSX_AVP_TO,Avcorp Industries Inc 
AVR,YAHOO/TSX_AVR_TO,Avion Gold Corporation 
AW,YAHOO/TSX_AW_UN_TO,A&W Revenue Royalties Income Fund 
AX,YAHOO/TSX_AX_UN_TO,Artis Real Estate Investment Trust Units 
AXF,YAHOO/TSX_AXF_TO,First Asset Dex All Cda Bond In 
AXL,YAHOO/TSX_AXL_TO,Anderson Energy Ltd. 
AXR,YAHOO/TSX_AXR_TO,Alexco Resource Corp. 
AXX,YAHOO/TSX_AXX_TO,Axia Netmedia J 
AXY,YAHOO/TSX_AXY_TO,Alterra Power Corp 
AYA,YAHOO/TSX_AYA_TO,Amaya Gaming Group Inc.
AZ,YAHOO/TSX_AZ_TO,Armistice Resources Corp. 
AZC,YAHOO/TSX_AZC_TO,Augusta Resource Corporation 
AZR,YAHOO/TSX_AZR_TO,Azumah Resources Limited 
AZZ,YAHOO/TSX_AZZ_TO,Azarga Uranium Corp.
BA,YAHOO/TSX_BA_TO,Bell Aliant Inc 
BAA,YAHOO/TSX_BAA_TO,Banro Corp. 
BAD,YAHOO/TSX_BAD_TO,Badger Daylighting Ltd. 
BAJ,YAHOO/TSX_BAJ_TO,Baja Mining Corp. 
BAM,YAHOO/TSX_BAM_A_TO,Brookfield Asset Management Inc. Cl.A Lv 
BAN,YAHOO/TSX_BAN_TO,Bannerman Resources Limited 
BAR,YAHOO/TSX_BAR_TO,Balmoral Resources Ltd.
BAU,YAHOO/TSX_BAU_TO,Bauer Performance Sports Ltd 
BB,YAHOO/TSX_BB_TO,BlackBerry Ltd.
BBD,YAHOO/TSX_BBD_A_TO,Bombardier Inc. Cl. A Mv 
BBD,YAHOO/TSX_BBD_B_TO,Bombardier Inc. Cl. B Sv 
BBL,YAHOO/TSX_BBL_A_TO,Brampton Brick Ltd. Cl.A Sv 
BBO,YAHOO/TSX_BBO_TO,Big Bank Big Oil Split Corp. 
BCB,YAHOO/TSX_BCB_TO,Cott Corp 
BCE,YAHOO/TSX_BCE_TO,Bce Inc. 
BCI,YAHOO/TSX_BCI_TO,Benvest New Look Income Fd 
BDI,YAHOO/TSX_BDI_TO,Black Diamond Group Ltd 
BDT,YAHOO/TSX_BDT_TO,Bird Construction Inc. 
BEI,YAHOO/TSX_BEI_UN_TO,Boardwalk Real Estate Investment Trust 
BEK,YAHOO/TSX_BEK_B_TO,Becker Milk Co Ltd Cl B Nv Spec 
BEP,YAHOO/TSX_BEP_UN_TO,Brookfield Renewable Energy Partners Lp 
BEV,YAHOO/TSX_BEV_TO,Bennett Env J 
BEZ,YAHOO/TSX_BEZ_TO,Besra Gold Inc.
BGI,YAHOO/TSX_BGI_UN_TO,Brookfield Global Infrastructure Securities Income Fund
BHY,YAHOO/TSX_BHY_UN_TO,Brookfield High Yield Strategic Income Fund
BIG,YAHOO/TSX_BIG_A_TO,Big 8 Split Inc. 
BIN,YAHOO/TSX_BIN_TO,Progressive Waste Solutions Ltd 
BIP,YAHOO/TSX_BIP_UN_TO,Brookfield Infra Partners Lp Units 
BIR,YAHOO/TSX_BIR_TO,Birchcliff Energy Ltd. 
BK,YAHOO/TSX_BK_TO,Canadian Banc Recovery Corp. Cl. A 
BKI,YAHOO/TSX_BKI_TO,Black Iron Inc 
BKL,YAHOO/TSX_BKL_TO,Powershares Senior Loan CAD Hd 
BKP,YAHOO/TSX_BKP_TO,C.A. Bancorp Inc. 
BKX,YAHOO/TSX_BKX_TO,Bnk Petroleum Inc. 
BLD,YAHOO/TSX_BLD_TO,Ballard Power 
BLS,YAHOO/TSX_BLS_TO,Boliden Ab 
BLU,YAHOO/TSX_BLU_TO,Bellus Health Inc. 
BLX,YAHOO/TSX_BLX_TO,Boralex Inc. 
BMO,YAHOO/TSX_BMO_TO,Bank Of Montreal 
BNC,YAHOO/TSX_BNC_TO,Bioniche Life J 
BNE,YAHOO/TSX_BNE_TO,Bonterra Energy Corp 
BNG,YAHOO/TSX_BNG_TO,Bengal Energy Ltd. 
BNK,YAHOO/TSX_BNK_TO,Bankers Petroleum Ltd. 
BNP,YAHOO/TSX_BNP_TO,Bonavista Energy Corporation 
BNS,YAHOO/TSX_BNS_TO,Bank Of Nova Scotia 
BOS,YAHOO/TSX_BOS_TO,Airboss America J 
BOX,YAHOO/TSX_BOX_UN_TO,Brookfield Office Properties Cda 
BOY,YAHOO/TSX_BOY_TO,Boyuan Construction Group Inc. 
BPF,YAHOO/TSX_BPF_UN_TO,Boston Pizza Royalties Income Fund 
BPO,YAHOO/TSX_BPO_TO,Brookfield Office Properties Inc 
BPV,YAHOO/TSX_BPV_TO,Bridgeport Ventures Inc 
